,image_id,p_180
130,test_00130,0
131,test_00131,1
132,test_00132,1
133,test_00133,1
134,test_00134,1
135,test_00135,0
136,test_00136,1
137,test_00137,1
138,test_00138,0
139,test_00139,1
140,test_00140,0
141,test_00141,1
142,test_00142,1
143,test_00143,1
144,test_00144,0
145,test_00145,1
146,test_00146,0
147,test_00147,0
148,test_00148,1
149,test_00149,1
150,test_00150,1
151,test_00151,0
152,test_00152,0
153,test_00153,1
154,test_00154,1
155,test_00155,1
156,test_00156,1
157,test_00157,1
158,test_00158,1
159,test_00159,1
160,test_00160,1
161,test_00161,1
162,test_00162,0
163,test_00163,1
164,test_00164,0
165,test_00165,0
166,test_00166,1
167,test_00167,1
168,test_00168,0
169,test_00169,1
170,test_00170,1
171,test_00171,0
172,test_00172,1
173,test_00173,1
174,test_00174,1
175,test_00175,1
176,test_00176,0
177,test_00177,1
178,test_00178,1
179,test_00179,0
180,test_00180,0
181,test_00181,0
182,test_00182,0
183,test_00183,1
184,test_00184,1
185,test_00185,0
186,test_00186,0
187,test_00187,1
188,test_00188,1
189,test_00189,1
190,test_00190,1
191,test_00191,0
192,test_00192,0
193,test_00193,1
194,test_00194,0
195,test_00195,0
196,test_00196,0
197,test_00197,1
198,test_00198,0
199,test_00199,1
200,test_00200,1
201,test_00201,1
202,test_00202,1
203,test_00203,0
204,test_00204,0
205,test_00205,0
206,test_00206,1
207,test_00207,1
208,test_00208,1
209,test_00209,0
210,test_00210,0
211,test_00211,1
212,test_00212,1
213,test_00213,1
214,test_00214,0
215,test_00215,0
216,test_00216,1
217,test_00217,1
218,test_00218,1
219,test_00219,1
220,test_00220,0
221,test_00221,1
222,test_00222,1
223,test_00223,0
224,test_00224,0
225,test_00225,0
226,test_00226,0
227,test_00227,1
228,test_00228,0
229,test_00229,1
230,test_00230,0
231,test_00231,1
232,test_00232,0
233,test_00233,0
234,test_00234,0
235,test_00235,1
236,test_00236,1
237,test_00237,0
238,test_00238,0
239,test_00239,0
240,test_00240,1
241,test_00241,1
242,test_00242,0
243,test_00243,1
244,test_00244,1
245,test_00245,0
246,test_00246,0
247,test_00247,0
248,test_00248,1
249,test_00249,1
250,test_00250,0
251,test_00251,0
252,test_00252,0
253,test_00253,0
254,test_00254,0
255,test_00255,1
256,test_00256,1
257,test_00257,0
258,test_00258,0
259,test_00259,1
260,test_00260,0
261,test_00261,1
262,test_00262,1
263,test_00263,0
264,test_00264,1
265,test_00265,0
266,test_00266,1
267,test_00267,0
268,test_00268,1
269,test_00269,0
270,test_00270,1
271,test_00271,0
272,test_00272,0
273,test_00273,1
274,test_00274,1
275,test_00275,1
276,test_00276,1
277,test_00277,0
278,test_00278,0
279,test_00279,1
280,test_00280,0
281,test_00281,1
282,test_00282,1
283,test_00283,1
284,test_00284,1
285,test_00285,0
286,test_00286,1
287,test_00287,0
288,test_00288,0
289,test_00289,1
290,test_00290,0
291,test_00291,0
292,test_00292,1
293,test_00293,0
294,test_00294,1
295,test_00295,0
296,test_00296,1
297,test_00297,1
298,test_00298,1
299,test_00299,0
300,test_00300,0
301,test_00301,0
302,test_00302,0
303,test_00303,0
304,test_00304,0
305,test_00305,1
306,test_00306,1
307,test_00307,0
308,test_00308,1
309,test_00309,0
310,test_00310,0
311,test_00311,0
312,test_00312,1
313,test_00313,1
314,test_00314,0
315,test_00315,1
316,test_00316,1
317,test_00317,0
318,test_00318,1
319,test_00319,0
320,test_00320,1
321,test_00321,1
322,test_00322,1
323,test_00323,1
324,test_00324,0
325,test_00325,1
326,test_00326,0
327,test_00327,0
328,test_00328,1
329,test_00329,0
330,test_00330,0
331,test_00331,0
332,test_00332,1
333,test_00333,1
334,test_00334,1
335,test_00335,1
336,test_00336,1
337,test_00337,0
338,test_00338,1
339,test_00339,0
340,test_00340,0
341,test_00341,1
342,test_00342,1
343,test_00343,1
344,test_00344,0
345,test_00345,0
346,test_00346,0
347,test_00347,1
348,test_00348,1
349,test_00349,1
350,test_00350,0
351,test_00351,0
352,test_00352,1
353,test_00353,0
354,test_00354,0
355,test_00355,0
356,test_00356,0
357,test_00357,1
358,test_00358,1
359,test_00359,1
360,test_00360,1
361,test_00361,0
362,test_00362,1
363,test_00363,0
364,test_00364,1
365,test_00365,0
366,test_00366,0
367,test_00367,0
368,test_00368,1
369,test_00369,1
370,test_00370,1
371,test_00371,0
372,test_00372,0
373,test_00373,0
374,test_00374,0
375,test_00375,0
376,test_00376,1
377,test_00377,1
378,test_00378,1
379,test_00379,1
380,test_00380,1
381,test_00381,0
382,test_00382,0
383,test_00383,0
384,test_00384,0
385,test_00385,1
386,test_00386,0
387,test_00387,1
388,test_00388,0
389,test_00389,0
390,test_00390,0
391,test_00391,0
392,test_00392,1
393,test_00393,0
394,test_00394,0
395,test_00395,0
396,test_00396,1
397,test_00397,0
398,test_00398,1
399,test_00399,0
400,test_00400,1
401,test_00401,0
402,test_00402,0
403,test_00403,1
404,test_00404,1
405,test_00405,1
406,test_00406,0
407,test_00407,1
408,test_00408,1
409,test_00409,0
410,test_00410,0
411,test_00411,0
412,test_00412,0
413,test_00413,0
414,test_00414,0
415,test_00415,1
416,test_00416,0
417,test_00417,1
418,test_00418,0
419,test_00419,0
420,test_00420,1
421,test_00421,1
422,test_00422,0
423,test_00423,0
424,test_00424,0
425,test_00425,1
426,test_00426,1
427,test_00427,1
428,test_00428,1
429,test_00429,1
430,test_00430,0
431,test_00431,0
432,test_00432,1
433,test_00433,1
434,test_00434,0
435,test_00435,0
436,test_00436,1
437,test_00437,1
438,test_00438,1
439,test_00439,1
440,test_00440,1
441,test_00441,1
442,test_00442,0
443,test_00443,0
444,test_00444,0
445,test_00445,0
446,test_00446,1
447,test_00447,1
448,test_00448,1
449,test_00449,0
450,test_00450,0
451,test_00451,0
452,test_00452,1
453,test_00453,0
454,test_00454,0
455,test_00455,0
456,test_00456,0
457,test_00457,1
458,test_00458,1
459,test_00459,0
460,test_00460,1
461,test_00461,1
462,test_00462,0
463,test_00463,1
464,test_00464,1
465,test_00465,1
466,test_00466,1
467,test_00467,0
468,test_00468,0
469,test_00469,1
470,test_00470,0
471,test_00471,0
472,test_00472,0
473,test_00473,1
474,test_00474,1
475,test_00475,1
476,test_00476,0
477,test_00477,1
478,test_00478,0
479,test_00479,0
480,test_00480,1
481,test_00481,1
482,test_00482,0
483,test_00483,1
484,test_00484,1
485,test_00485,1
486,test_00486,0
487,test_00487,0
488,test_00488,1
489,test_00489,1
490,test_00490,0
491,test_00491,0
492,test_00492,0
493,test_00493,1
494,test_00494,0
495,test_00495,0
496,test_00496,0
497,test_00497,0
498,test_00498,1
499,test_00499,0
500,test_00500,0
501,test_00501,0
502,test_00502,0
503,test_00503,0
504,test_00504,1
505,test_00505,0
506,test_00506,1
507,test_00507,0
508,test_00508,1
509,test_00509,0
510,test_00510,0
511,test_00511,1
512,test_00512,1
513,test_00513,1
514,test_00514,0
515,test_00515,1
516,test_00516,1
517,test_00517,1
518,test_00518,0
519,test_00519,0
520,test_00520,0
521,test_00521,0
522,test_00522,1
523,test_00523,0
524,test_00524,0
525,test_00525,1
526,test_00526,0
527,test_00527,0
528,test_00528,0
529,test_00529,1
530,test_00530,0
531,test_00531,0
532,test_00532,0
533,test_00533,0
534,test_00534,0
535,test_00535,1
536,test_00536,0
537,test_00537,0
538,test_00538,1
539,test_00539,0
540,test_00540,1
541,test_00541,0
542,test_00542,0
543,test_00543,1
544,test_00544,1
545,test_00545,0
546,test_00546,1
547,test_00547,0
548,test_00548,0
549,test_00549,0
550,test_00550,1
551,test_00551,0
552,test_00552,0
553,test_00553,1
554,test_00554,1
555,test_00555,0
556,test_00556,1
557,test_00557,1
558,test_00558,1
559,test_00559,0
560,test_00560,1
561,test_00561,1
562,test_00562,0
563,test_00563,0
564,test_00564,1
565,test_00565,0
566,test_00566,0
567,test_00567,0
568,test_00568,1
569,test_00569,0
570,test_00570,1
571,test_00571,1
572,test_00572,0
573,test_00573,0
574,test_00574,0
575,test_00575,1
576,test_00576,0
577,test_00577,0
578,test_00578,0
579,test_00579,0
580,test_00580,0
581,test_00581,0
582,test_00582,0
583,test_00583,1
584,test_00584,1
585,test_00585,1
586,test_00586,1
587,test_00587,1
588,test_00588,1
589,test_00589,1
590,test_00590,0
591,test_00591,1
592,test_00592,1
593,test_00593,0
594,test_00594,1
595,test_00595,1
596,test_00596,0
597,test_00597,0
598,test_00598,0
599,test_00599,0
600,test_00600,1
601,test_00601,0
602,test_00602,0
603,test_00603,1
604,test_00604,1
605,test_00605,1
606,test_00606,0
607,test_00607,1
608,test_00608,1
609,test_00609,0
610,test_00610,1
611,test_00611,0
612,test_00612,1
613,test_00613,1
614,test_00614,1
615,test_00615,1
616,test_00616,1
617,test_00617,1
618,test_00618,0
619,test_00619,0
620,test_00620,1
621,test_00621,1
622,test_00622,1
623,test_00623,0
624,test_00624,1
625,test_00625,0
626,test_00626,1
627,test_00627,1
628,test_00628,1
629,test_00629,0
630,test_00630,1
631,test_00631,0
632,test_00632,1
633,test_00633,1
634,test_00634,1
635,test_00635,1
636,test_00636,1
637,test_00637,1
638,test_00638,1
639,test_00639,0
640,test_00640,0
641,test_00641,0
642,test_00642,0
643,test_00643,0
644,test_00644,1
645,test_00645,0
646,test_00646,1
647,test_00647,1
648,test_00648,1
649,test_00649,1
650,test_00650,1
651,test_00651,1
652,test_00652,1
653,test_00653,0
654,test_00654,1
655,test_00655,0
656,test_00656,1
657,test_00657,1
658,test_00658,0
659,test_00659,0
660,test_00660,1
661,test_00661,1
662,test_00662,1
663,test_00663,0
664,test_00664,0
665,test_00665,1
666,test_00666,1
667,test_00667,1
668,test_00668,0
669,test_00669,0
670,test_00670,0
671,test_00671,0
672,test_00672,1
673,test_00673,0
674,test_00674,1
675,test_00675,0
676,test_00676,0
677,test_00677,0
678,test_00678,1
679,test_00679,0
680,test_00680,1
681,test_00681,0
682,test_00682,0
683,test_00683,0
684,test_00684,1
685,test_00685,1
686,test_00686,1
687,test_00687,0
688,test_00688,1
689,test_00689,0
690,test_00690,0
691,test_00691,1
692,test_00692,1
693,test_00693,1
694,test_00694,1
695,test_00695,0
696,test_00696,1
697,test_00697,1
698,test_00698,1
699,test_00699,0
700,test_00700,0
701,test_00701,0
702,test_00702,1
703,test_00703,0
704,test_00704,0
705,test_00705,0
706,test_00706,0
707,test_00707,0
708,test_00708,1
709,test_00709,0
710,test_00710,0
711,test_00711,1
712,test_00712,1
713,test_00713,0
714,test_00714,0
715,test_00715,1
716,test_00716,0
717,test_00717,0
718,test_00718,1
719,test_00719,0
720,test_00720,1
721,test_00721,1
722,test_00722,1
723,test_00723,0
724,test_00724,0
725,test_00725,1
726,test_00726,0
727,test_00727,0
728,test_00728,1
729,test_00729,1
730,test_00730,0
731,test_00731,0
732,test_00732,1
733,test_00733,1
734,test_00734,1
735,test_00735,0
736,test_00736,1
737,test_00737,0
738,test_00738,0
739,test_00739,1
740,test_00740,1
741,test_00741,0
742,test_00742,1
743,test_00743,0
744,test_00744,1
745,test_00745,1
746,test_00746,0
747,test_00747,1
748,test_00748,1
749,test_00749,1
750,test_00750,0
751,test_00751,1
752,test_00752,0
753,test_00753,0
754,test_00754,0
755,test_00755,0
756,test_00756,0
757,test_00757,0
758,test_00758,0
759,test_00759,1
760,test_00760,0
761,test_00761,0
762,test_00762,0
763,test_00763,0
764,test_00764,0
765,test_00765,1
766,test_00766,0
767,test_00767,0
768,test_00768,1
769,test_00769,0
770,test_00770,0
771,test_00771,0
772,test_00772,1
773,test_00773,1
774,test_00774,1
775,test_00775,1
776,test_00776,0
777,test_00777,1
778,test_00778,1
779,test_00779,0
780,test_00780,1
781,test_00781,1
782,test_00782,0
783,test_00783,0
784,test_00784,1
785,test_00785,0
786,test_00786,1
787,test_00787,0
788,test_00788,0
789,test_00789,1
790,test_00790,1
791,test_00791,1
792,test_00792,1
793,test_00793,0
794,test_00794,0
795,test_00795,1
796,test_00796,0
797,test_00797,0
798,test_00798,0
799,test_00799,0
800,test_00800,1
801,test_00801,1
802,test_00802,1
803,test_00803,0
804,test_00804,0
805,test_00805,1
806,test_00806,0
807,test_00807,1
808,test_00808,0
809,test_00809,0
810,test_00810,0
811,test_00811,0
812,test_00812,1
813,test_00813,0
814,test_00814,0
815,test_00815,1
816,test_00816,1
817,test_00817,0
818,test_00818,1
819,test_00819,0
820,test_00820,1
821,test_00821,0
822,test_00822,1
823,test_00823,0
824,test_00824,1
825,test_00825,1
826,test_00826,0
827,test_00827,1
828,test_00828,1
829,test_00829,0
830,test_00830,0
831,test_00831,1
832,test_00832,0
833,test_00833,1
834,test_00834,0
835,test_00835,1
836,test_00836,0
837,test_00837,0
838,test_00838,1
839,test_00839,1
840,test_00840,1
841,test_00841,0
842,test_00842,0
843,test_00843,1
844,test_00844,0
845,test_00845,1
846,test_00846,0
847,test_00847,1
848,test_00848,1
849,test_00849,0
850,test_00850,1
851,test_00851,0
852,test_00852,1
853,test_00853,0
854,test_00854,0
855,test_00855,0
856,test_00856,0
857,test_00857,1
858,test_00858,0
859,test_00859,0
860,test_00860,0
861,test_00861,1
862,test_00862,0
863,test_00863,1
864,test_00864,1
865,test_00865,0
866,test_00866,1
867,test_00867,1
868,test_00868,0
869,test_00869,0
870,test_00870,0
871,test_00871,1
872,test_00872,0
873,test_00873,1
874,test_00874,1
875,test_00875,0
876,test_00876,0
877,test_00877,0
878,test_00878,0
879,test_00879,1
880,test_00880,1
881,test_00881,0
882,test_00882,1
883,test_00883,0
884,test_00884,0
885,test_00885,0
886,test_00886,1
887,test_00887,1
888,test_00888,0
889,test_00889,0
890,test_00890,1
891,test_00891,0
892,test_00892,1
893,test_00893,1
894,test_00894,0
895,test_00895,0
896,test_00896,1
897,test_00897,0
898,test_00898,0
899,test_00899,0
900,test_00900,1
901,test_00901,1
902,test_00902,0
903,test_00903,1
904,test_00904,1
905,test_00905,0
906,test_00906,0
907,test_00907,0
908,test_00908,0
909,test_00909,1
910,test_00910,1
911,test_00911,1
912,test_00912,0
913,test_00913,0
914,test_00914,1
915,test_00915,0
916,test_00916,1
917,test_00917,1
918,test_00918,1
919,test_00919,0
920,test_00920,1
921,test_00921,0
922,test_00922,0
923,test_00923,1
924,test_00924,1
925,test_00925,1
926,test_00926,0
927,test_00927,1
928,test_00928,0
929,test_00929,0
930,test_00930,1
931,test_00931,1
932,test_00932,1
933,test_00933,0
934,test_00934,1
935,test_00935,1
936,test_00936,0
937,test_00937,0
938,test_00938,1
939,test_00939,1
940,test_00940,1
941,test_00941,1
942,test_00942,0
943,test_00943,0
944,test_00944,1
945,test_00945,0
946,test_00946,1
947,test_00947,1
948,test_00948,1
949,test_00949,0
950,test_00950,0
951,test_00951,1
952,test_00952,0
953,test_00953,0
954,test_00954,0
955,test_00955,0
956,test_00956,1
957,test_00957,1
958,test_00958,0
959,test_00959,1
960,test_00960,1
961,test_00961,1
962,test_00962,0
963,test_00963,0
964,test_00964,0
965,test_00965,0
966,test_00966,0
967,test_00967,0
968,test_00968,0
969,test_00969,0
970,test_00970,1
971,test_00971,1
972,test_00972,0
973,test_00973,0
974,test_00974,1
975,test_00975,1
976,test_00976,0
977,test_00977,0
978,test_00978,0
979,test_00979,1
980,test_00980,1
981,test_00981,0
982,test_00982,1
983,test_00983,0
984,test_00984,1
985,test_00985,1
986,test_00986,0
987,test_00987,1
988,test_00988,1
989,test_00989,1
990,test_00990,1
991,test_00991,0
992,test_00992,0
993,test_00993,0
994,test_00994,1
995,test_00995,1
996,test_00996,1
997,test_00997,0
998,test_00998,1
999,test_00999,1
1000,test_01000,0
1001,test_01001,1
1002,test_01002,0
1003,test_01003,0
1004,test_01004,1
1005,test_01005,1
1006,test_01006,0
1007,test_01007,0
1008,test_01008,0
1009,test_01009,0
1010,test_01010,1
1011,test_01011,0
1012,test_01012,0
1013,test_01013,0
1014,test_01014,1
1015,test_01015,1
1016,test_01016,1
1017,test_01017,0
1018,test_01018,1
1019,test_01019,1
1020,test_01020,1
1021,test_01021,1
1022,test_01022,1
1023,test_01023,0
1024,test_01024,1
1025,test_01025,1
1026,test_01026,0
1027,test_01027,0
1028,test_01028,0
1029,test_01029,0
1030,test_01030,1
1031,test_01031,0
1032,test_01032,0
1033,test_01033,1
1034,test_01034,1
1035,test_01035,1
1036,test_01036,0
1037,test_01037,1
1038,test_01038,0
1039,test_01039,0
1040,test_01040,0
1041,test_01041,0
1042,test_01042,1
1043,test_01043,0
1044,test_01044,1
1045,test_01045,0
1046,test_01046,1
1047,test_01047,0
1048,test_01048,1
1049,test_01049,0
1050,test_01050,1
1051,test_01051,1
1052,test_01052,0
1053,test_01053,1
1054,test_01054,0
1055,test_01055,1
1056,test_01056,0
1057,test_01057,1
1058,test_01058,0
1059,test_01059,0
1060,test_01060,0
1061,test_01061,1
1062,test_01062,0
1063,test_01063,1
1064,test_01064,0
1065,test_01065,1
1066,test_01066,0
1067,test_01067,1
1068,test_01068,0
1069,test_01069,1
1070,test_01070,0
1071,test_01071,0
1072,test_01072,1
1073,test_01073,1
1074,test_01074,1
1075,test_01075,1
1076,test_01076,0
1077,test_01077,1
1078,test_01078,0
1079,test_01079,0
1080,test_01080,0
1081,test_01081,0
1082,test_01082,1
1083,test_01083,1
1084,test_01084,0
1085,test_01085,1
1086,test_01086,0
1087,test_01087,0
1088,test_01088,0
1089,test_01089,0
1090,test_01090,0
1091,test_01091,1
1092,test_01092,0
1093,test_01093,0
1094,test_01094,0
1095,test_01095,1
1096,test_01096,0
1097,test_01097,0
1098,test_01098,0
1099,test_01099,0
1100,test_01100,0
1101,test_01101,0
1102,test_01102,0
1103,test_01103,0
1104,test_01104,1
1105,test_01105,0
1106,test_01106,0
1107,test_01107,0
1108,test_01108,1
1109,test_01109,0
1110,test_01110,1
1111,test_01111,0
1112,test_01112,1
1113,test_01113,0
1114,test_01114,1
1115,test_01115,0
1116,test_01116,1
1117,test_01117,0
1118,test_01118,0
1119,test_01119,0
1120,test_01120,1
1121,test_01121,1
1122,test_01122,0
1123,test_01123,0
1124,test_01124,1
1125,test_01125,1
1126,test_01126,0
1127,test_01127,0
1128,test_01128,0
1129,test_01129,0
1130,test_01130,1
1131,test_01131,0
1132,test_01132,1
1133,test_01133,0
1134,test_01134,1
1135,test_01135,0
1136,test_01136,0
1137,test_01137,1
1138,test_01138,0
1139,test_01139,1
1140,test_01140,1
1141,test_01141,0
1142,test_01142,1
1143,test_01143,1
1144,test_01144,0
1145,test_01145,0
1146,test_01146,1
1147,test_01147,1
1148,test_01148,1
1149,test_01149,0
1150,test_01150,0
1151,test_01151,1
1152,test_01152,1
1153,test_01153,1
1154,test_01154,0
1155,test_01155,1
1156,test_01156,0
1157,test_01157,0
1158,test_01158,1
1159,test_01159,1
1160,test_01160,1
1161,test_01161,0
1162,test_01162,1
1163,test_01163,0
1164,test_01164,1
1165,test_01165,0
1166,test_01166,0
1167,test_01167,0
1168,test_01168,1
1169,test_01169,1
1170,test_01170,0
1171,test_01171,1
1172,test_01172,0
1173,test_01173,1
1174,test_01174,1
1175,test_01175,0
1176,test_01176,0
1177,test_01177,1
1178,test_01178,1
1179,test_01179,0
1180,test_01180,1
1181,test_01181,0
1182,test_01182,1
1183,test_01183,0
1184,test_01184,0
1185,test_01185,1
1186,test_01186,1
1187,test_01187,0
1188,test_01188,0
1189,test_01189,0
1190,test_01190,0
1191,test_01191,0
1192,test_01192,0
1193,test_01193,1
1194,test_01194,0
1195,test_01195,0
1196,test_01196,1
1197,test_01197,0
1198,test_01198,0
1199,test_01199,1
1200,test_01200,0
1201,test_01201,1
1202,test_01202,1
1203,test_01203,0
1204,test_01204,1
1205,test_01205,0
1206,test_01206,0
1207,test_01207,1
1208,test_01208,1
1209,test_01209,1
1210,test_01210,1
1211,test_01211,1
1212,test_01212,0
1213,test_01213,1
1214,test_01214,0
1215,test_01215,0
1216,test_01216,0
1217,test_01217,0
1218,test_01218,0
1219,test_01219,0
1220,test_01220,1
1221,test_01221,1
1222,test_01222,0
1223,test_01223,0
1224,test_01224,0
1225,test_01225,1
1226,test_01226,0
1227,test_01227,1
1228,test_01228,0
1229,test_01229,0
1230,test_01230,1
1231,test_01231,1
1232,test_01232,0
1233,test_01233,1
1234,test_01234,0
1235,test_01235,0
1236,test_01236,0
1237,test_01237,1
1238,test_01238,1
1239,test_01239,0
1240,test_01240,1
1241,test_01241,0
1242,test_01242,0
1243,test_01243,1
1244,test_01244,0
1245,test_01245,1
1246,test_01246,1
1247,test_01247,1
1248,test_01248,0
1249,test_01249,1
1250,test_01250,1
1251,test_01251,1
1252,test_01252,0
1253,test_01253,1
1254,test_01254,0
1255,test_01255,0
1256,test_01256,0
1257,test_01257,1
1258,test_01258,1
1259,test_01259,1
1260,test_01260,1
1261,test_01261,0
1262,test_01262,0
1263,test_01263,0
1264,test_01264,0
1265,test_01265,0
1266,test_01266,0
1267,test_01267,0
1268,test_01268,0
1269,test_01269,1
1270,test_01270,1
1271,test_01271,0
1272,test_01272,0
1273,test_01273,0
1274,test_01274,0
1275,test_01275,1
1276,test_01276,0
1277,test_01277,0
1278,test_01278,1
1279,test_01279,1
1280,test_01280,1
1281,test_01281,1
1282,test_01282,0
1283,test_01283,1
1284,test_01284,0
1285,test_01285,0
1286,test_01286,0
1287,test_01287,0
1288,test_01288,0
1289,test_01289,0
1290,test_01290,1
1291,test_01291,0
1292,test_01292,1
1293,test_01293,0
1294,test_01294,0
1295,test_01295,0
1296,test_01296,0
1297,test_01297,1
1298,test_01298,1
1299,test_01299,1
1300,test_01300,0
1301,test_01301,0
1302,test_01302,1
1303,test_01303,0
1304,test_01304,1
1305,test_01305,1
1306,test_01306,0
1307,test_01307,0
1308,test_01308,0
1309,test_01309,1
1310,test_01310,0
1311,test_01311,0
1312,test_01312,0
1313,test_01313,0
1314,test_01314,1
1315,test_01315,0
1316,test_01316,0
1317,test_01317,1
1318,test_01318,0
1319,test_01319,1
1320,test_01320,0
1321,test_01321,0
1322,test_01322,0
1323,test_01323,1
1324,test_01324,1
1325,test_01325,0
1326,test_01326,0
1327,test_01327,1
1328,test_01328,1
1329,test_01329,0
1330,test_01330,1
1331,test_01331,1
1332,test_01332,0
1333,test_01333,1
1334,test_01334,1
1335,test_01335,0
1336,test_01336,1
1337,test_01337,1
1338,test_01338,1
1339,test_01339,0
1340,test_01340,0
1341,test_01341,1
1342,test_01342,0
1343,test_01343,1
1344,test_01344,0
1345,test_01345,1
1346,test_01346,0
1347,test_01347,0
1348,test_01348,0
1349,test_01349,0
1350,test_01350,0
1351,test_01351,1
1352,test_01352,0
1353,test_01353,1
1354,test_01354,0
1355,test_01355,0
1356,test_01356,1
1357,test_01357,0
1358,test_01358,1
1359,test_01359,0
1360,test_01360,1
1361,test_01361,0
1362,test_01362,0
1363,test_01363,1
1364,test_01364,1
1365,test_01365,1
1366,test_01366,1
1367,test_01367,0
1368,test_01368,1
1369,test_01369,0
1370,test_01370,1
1371,test_01371,0
1372,test_01372,1
1373,test_01373,0
1374,test_01374,1
1375,test_01375,0
1376,test_01376,1
1377,test_01377,1
1378,test_01378,1
1379,test_01379,0
1380,test_01380,1
1381,test_01381,0
1382,test_01382,0
1383,test_01383,1
1384,test_01384,0
1385,test_01385,1
1386,test_01386,0
1387,test_01387,0
1388,test_01388,0
1389,test_01389,1
1390,test_01390,0
1391,test_01391,0
1392,test_01392,1
1393,test_01393,0
1394,test_01394,0
1395,test_01395,0
1396,test_01396,1
1397,test_01397,0
1398,test_01398,1
1399,test_01399,0
1400,test_01400,1
1401,test_01401,0
1402,test_01402,0
1403,test_01403,1
1404,test_01404,1
1405,test_01405,0
1406,test_01406,0
1407,test_01407,0
1408,test_01408,1
1409,test_01409,1
1410,test_01410,0
1411,test_01411,0
1412,test_01412,0
1413,test_01413,0
1414,test_01414,1
1415,test_01415,0
1416,test_01416,1
1417,test_01417,0
1418,test_01418,0
1419,test_01419,0
1420,test_01420,0
1421,test_01421,0
1422,test_01422,1
1423,test_01423,0
1424,test_01424,1
1425,test_01425,1
1426,test_01426,1
1427,test_01427,0
1428,test_01428,0
1429,test_01429,0
1430,test_01430,1
1431,test_01431,0
1432,test_01432,0
1433,test_01433,1
1434,test_01434,1
1435,test_01435,1
1436,test_01436,0
1437,test_01437,1
1438,test_01438,0
1439,test_01439,0
1440,test_01440,1
1441,test_01441,0
1442,test_01442,0
1443,test_01443,0
1444,test_01444,0
1445,test_01445,0
1446,test_01446,0
1447,test_01447,0
1448,test_01448,1
1449,test_01449,0
1450,test_01450,1
1451,test_01451,1
1452,test_01452,1
1453,test_01453,0
1454,test_01454,1
1455,test_01455,1
1456,test_01456,0
1457,test_01457,0
1458,test_01458,1
1459,test_01459,1
1460,test_01460,0
1461,test_01461,0
1462,test_01462,1
1463,test_01463,0
1464,test_01464,1
1465,test_01465,0
1466,test_01466,1
1467,test_01467,0
1468,test_01468,0
1469,test_01469,1
1470,test_01470,0
1471,test_01471,1
1472,test_01472,0
1473,test_01473,1
1474,test_01474,0
1475,test_01475,0
1476,test_01476,1
1477,test_01477,0
1478,test_01478,0
1479,test_01479,1
1480,test_01480,0
1481,test_01481,0
1482,test_01482,0
1483,test_01483,1
1484,test_01484,0
1485,test_01485,0
1486,test_01486,0
1487,test_01487,0
1488,test_01488,0
1489,test_01489,1
1490,test_01490,0
1491,test_01491,1
1492,test_01492,0
1493,test_01493,0
1494,test_01494,0
1495,test_01495,1
1496,test_01496,0
1497,test_01497,0
